ID,ClientID,OpenedDate,ClosedDate
1,25,1999-02-11,2000-05-02
2,17,2003-06-10,2005-01-26
3,24,1993-01-16,2011-08-27
4,44,2011-06-03,2015-01-30
5,34,1999-09-30,2005-03-11
6,29,2007-01-14,2016-02-19
7,40,2007-05-28,2016-01-05
8,24,2010-01-31,2016-07-20
9,12,1961-07-01,1986-07-30
10,10,2000-09-10,2016-03-17
11,43,2002-07-09,2013-11-28
12,36,2003-03-21,2010-04-09
13,9,1965-07-29,2013-05-09
14,21,2005-10-17,2011-01-22
15,33,2003-02-21,2009-11-14
16,1,2004-12-01,2008-06-08
17,46,1991-04-15,2015-03-17
18,36,1981-01-13,2006-02-26
19,39,1975-12-21,2001-04-04
20,19,2001-07-05,2002-06-23
21,12,1983-08-10,1995-12-10
22,40,1967-07-04,1995-09-19
23,24,1984-09-18,1996-09-01
24,35,1979-12-18,2000-11-07
25,14,1991-10-21,2016-05-13
26,14,1980-03-16,2010-07-27
27,7,1968-05-08,2004-03-19
28,22,2010-12-07,2010-12-24
29,35,1983-06-04,2003-04-04
30,6,1970-07-09,1988-01-01
31,48,2008-02-02,2011-03-01
32,35,1963-01-14,1970-12-04
33,13,1991-10-21,2015-09-07
34,27,1998-11-17,2004-02-09
35,13,2008-01-01,2014-11-16
36,36,1989-11-24,2016-05-21
37,16,1996-09-01,2015-01-16
38,37,1976-06-16,1994-03-24
39,6,2005-05-16,2009-08-06
40,32,2014-10-13,2016-10-03
41,23,1971-08-03,1978-11-14
42,16,1968-01-21,1991-04-01
43,5,1985-05-01,1995-12-04
44,38,1967-07-07,2013-09-06
45,3,2011-02-23,2015-09-24
46,15,2010-01-20,2010-06-10
47,33,1998-03-25,2008-01-08
48,3,2013-11-08,2013-12-23
49,28,1961-12-04,1974-04-03
50,34,1971-07-17,1999-07-25
51,11,1984-07-12,1990-01-19
52,26,1974-10-14,1998-10-04
53,33,1992-11-24,2010-08-13
54,9,1965-12-21,1972-03-08
55,29,1961-01-03,1993-05-25
56,46,2013-05-05,2014-06-29
57,38,1997-02-21,2000-12-27
58,2,2004-03-10,2005-03-31
59,20,1977-06-02,1994-10-09
60,27,2012-02-19,2015-10-02
61,39,1970-06-01,1976-08-19
62,22,1997-03-04,2013-09-24
63,15,1995-10-10,1997-06-19
64,42,1963-09-17,1964-06-07
65,21,1993-10-03,2016-07-28
66,33,2013-04-17,2014-10-21
67,15,1996-06-30,1996-08-14
68,41,1971-12-13,2005-01-25
69,19,1975-07-24,1982-04-24
70,42,1995-09-25,2006-02-02
71,8,1966-06-06,1978-04-06
72,44,1996-03-03,1999-03-01
73,1,1984-09-18,2002-02-21
74,2,1974-09-22,1985-08-02
75,50,1976-07-05,1979-07-15
76,43,1978-07-17,2004-08-21
77,8,1973-09-30,1989-06-27
78,16,1970-08-16,2013-05-22
79,9,1965-07-07,2009-11-29
80,30,2003-12-05,2003-12-25
81,18,2005-08-17,2008-06-13
82,6,1984-02-27,2016-11-25
83,40,1976-01-16,1978-02-08
84,17,1989-07-19,2013-07-03
85,49,1969-11-11,2000-02-29
86,19,2003-07-23,2011-07-11
87,30,1960-10-04,1968-01-14
88,47,1974-03-31,1981-01-16
89,35,2002-02-25,2011-03-16
90,32,1964-06-25,1967-02-16
91,20,1965-05-07,2015-02-17
92,27,1965-10-29,1983-10-24
93,34,2013-03-27,2015-08-08
94,26,1979-03-19,2016-04-18
95,24,1973-02-26,1978-01-30
96,6,2008-05-29,2013-04-08
97,24,1983-05-21,2016-03-06
98,31,2010-12-09,2016-06-14
99,40,1971-07-25,2013-01-11
100,39,1981-02-20,1986-11-30
101,11,1996-03-09,2003-08-28
102,47,1987-09-04,1997-11-01
103,7,2013-07-12,2013-08-19
104,13,2013-04-13,2016-11-07
105,37,1972-02-19,1976-04-09
106,5,2005-08-23,2010-03-04
107,42,2005-03-23,2008-12-28
108,20,1995-08-18,1995-12-14
109,39,1960-08-24,1993-08-17
110,28,1975-10-20,1999-09-12
111,7,1998-02-21,2001-07-28
112,7,2016-03-23,2016-08-21
113,16,2010-10-30,2016-10-29
114,25,2016-02-08,2016-09-12
115,25,2006-06-30,2012-08-20
116,28,2004-08-08,2006-02-04
117,32,2007-12-30,2011-11-08
118,38,2016-05-20,2016-09-10
119,24,2010-08-24,2016-08-31
120,26,2000-01-26,2003-01-22
121,14,1961-09-27,2008-07-31
122,11,2011-08-18,2014-03-30
123,3,2008-03-17,2010-01-20
124,47,2002-10-15,2009-05-05
125,22,1994-06-08,1999-06-09
126,27,2015-06-27,2015-08-11
127,38,2006-10-13,2009-11-26
128,11,1971-07-22,2000-05-26
129,38,2015-10-04,2015-11-26
130,42,2005-10-10,2014-04-11
131,7,1986-10-06,1992-10-05
132,27,1991-07-20,2008-07-29
133,10,2004-09-23,2014-10-15
134,42,2016-04-01,2016-11-11
135,41,1974-06-10,2011-11-27
136,34,1969-05-11,2004-05-06
137,21,1982-04-02,2011-08-13
138,6,2006-11-08,2007-03-11
139,49,1990-01-25,2013-08-27
140,5,2010-07-02,2014-09-15
141,26,1992-04-07,2002-05-31
142,39,2005-11-05,2016-08-07
143,2,2011-01-08,2016-02-17
144,33,1983-09-14,1988-03-29
145,50,2000-11-07,2008-10-17
146,7,1978-04-09,2013-11-19
147,14,1965-03-17,1985-04-06
148,30,2008-11-03,2008-12-16
149,43,2002-10-22,2015-01-20
150,35,1970-04-21,2008-03-02
151,42,1980-01-10,1980-10-28
152,7,1990-03-23,2006-08-02
153,14,1985-01-11,2003-09-03
154,49,2008-11-22,2008-12-09
155,3,2011-12-30,2014-09-21
156,14,1965-09-30,1978-09-10
157,48,2010-03-14,2016-10-26
158,31,1987-06-16,2015-02-03
159,20,1992-07-10,2009-12-16
160,38,2008-01-09,2014-05-09
161,13,1993-05-18,2004-01-17
162,4,1997-03-08,1997-05-28
163,37,1971-05-08,2001-04-22
164,5,2010-05-25,2015-12-30
165,46,1971-07-24,2001-12-24
166,12,2003-06-05,2012-11-09
167,20,2003-01-22,2006-01-15
168,32,2008-10-17,2016-07-06
169,14,1974-06-28,1990-07-29
170,19,2013-11-17,2014-04-05
171,27,1963-04-04,2008-05-10
172,50,1962-06-21,1989-08-13
173,17,2008-08-28,2010-09-20
174,8,1996-01-20,2009-10-15
175,47,2011-01-08,2012-05-10
176,5,1970-08-30,1986-06-10
177,28,1966-04-02,1992-11-10
178,49,1982-09-30,1995-11-14
179,30,1999-06-29,2010-11-06
180,23,2012-03-01,2012-04-13
181,37,1972-10-27,1994-06-16
182,33,1994-05-19,2001-06-02
183,31,2013-08-21,2016-06-21
